Full Formula (Si48 O96)
Reduced Formula: SiO2
abc   :  13.674000  13.674000  19.695000
angles:  90.000000  90.000000 120.000000
Sites (144)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Si     0.9997   0.2265   0.9212
  1  Si     0.2268   0.0003   0.9212
  2  Si     0.7735   0.7732   0.9212
  3  Si     0.0003   0.7735   0.4212
  4  Si     0.7732   0.9997   0.4212
  5  Si     0.2265   0.2268   0.4212
  6  Si     0.2268   0.2265   0.9212
  7  Si     0.7735   0.0003   0.9212
  8  Si     0.9997   0.7732   0.9212
  9  Si     0.7732   0.7735   0.4212
 10  Si     0.2265   0.9997   0.4212
 11  Si     0.0003   0.2268   0.4212
 12  Si     0.0003   0.7735   0.0788
 13  Si     0.7732   0.9997   0.0788
 14  Si     0.2265   0.2268   0.0788
 15  Si     0.9997   0.2265   0.5788
 16  Si     0.2268   0.0003   0.5788
 17  Si     0.7735   0.7732   0.5788
 18  Si     0.7732   0.7735   0.0788
 19  Si     0.2265   0.9997   0.0788
 20  Si     0.0003   0.2268   0.0788
 21  Si     0.2268   0.2265   0.5788
 22  Si     0.7735   0.0003   0.5788
 23  Si     0.9997   0.7732   0.5788
 24  Si     0.6671   0.1069   0.8288
 25  Si     0.4398   0.3329   0.8288
 26  Si     0.8931   0.5602   0.8288
 27  Si     0.3329   0.8931   0.3288
 28  Si     0.5602   0.6671   0.3288
 29  Si     0.1069   0.4398   0.3288
 30  Si     0.4398   0.1069   0.8288
 31  Si     0.8931   0.3329   0.8288
 32  Si     0.6671   0.5602   0.8288
 33  Si     0.5602   0.8931   0.3288
 34  Si     0.1069   0.6671   0.3288
 35  Si     0.3329   0.4398   0.3288
 36  Si     0.3329   0.8931   0.1712
 37  Si     0.5602   0.6671   0.1712
 38  Si     0.1069   0.4398   0.1712
 39  Si     0.6671   0.1069   0.6712
 40  Si     0.4398   0.3329   0.6712
 41  Si     0.8931   0.5602   0.6712
 42  Si     0.5602   0.8931   0.1712
 43  Si     0.1069   0.6671   0.1712
 44  Si     0.3329   0.4398   0.1712
 45  Si     0.4398   0.1069   0.6712
 46  Si     0.8931   0.3329   0.6712
 47  Si     0.6671   0.5602   0.6712
 48  O      0.902    0.098    0.908
